Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Choice_12,Choice_13,Choice_14,Choice_15,Choice_16,Choice_17,Choice_18,Choice_19,Choice_20,Choice_21,Choice_22,Choice_23,Choice_24,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_9,Pre_10,Pre_11,Pre_12,Pre_13,Pre_14,Pre_15,Pre_16,Pre_17,Pre_18,Pre_19,Pre_20,Pre_21,Pre_22,Pre_23,Pre_24,Post_1,Post_2,Post_3,Post_4,Post_5,Post_6,Post_7,Post_8,Post_9,Post_10,Post_11,Post_12,Post_13,Post_14,Post_15,Post_16,Post_17,Post_18,Post_19,Post_20,Post_21,Post_22,Post_23,Post_24
3,3,1,1,1,1,3,1,1,3,1,3,1,3,3,1,1,3,1,3,3,3,1,3,2,1,2,1,2,1,1,1,3,4,2,5,4,3,1,2,1,2,1,1,1,2,2,4,4,3,3,2,1,4,4,2,2,5,2,5,4,2,1,2,2,3,2,5,3,1,1,2
3,1,1,3,3,1,1,1,3,3,3,1,3,3,3,3,1,1,3,1,3,1,1,1,5,2,2,3,4,2,5,5,5,2,1,3,5,2,3,4,5,5,3,5,3,5,3,2,5,2,2,2,4,2,5,4,3,2,2,2,5,2,3,5,4,5,4,5,3,4,2,2
3,3,1,3,1,3,3,1,1,1,1,3,3,1,1,1,3,3,1,3,3,1,1,2,5,5,6,5,2,6,4,2,2,3,5,6,6,2,2,2,1,5,3,6,6,5,5,2,5,5,2,2,2,5,5,2,2,2,2,5,5,3,2,2,2,5,3,4,5,4,2,3
3,1,3,1,3,1,3,1,1,3,1,3,3,1,3,3,3,1,3,3,1,1,1,1,2,2,3,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,3,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1
3,3,1,1,3,1,1,3,1,3,1,3,1,3,1,3,1,3,3,3,1,3,1,1,5,1,1,3,2,1,1,1,2,2,1,1,3,1,2,1,1,5,2,6,1,4,1,1,5,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,4,1,2,1,1
1,1,1,1,3,1,3,3,3,1,3,3,3,2,1,1,3,1,1,3,3,3,1,1,3,1,2,3,4,1,5,4,4,1,2,6,1,1,1,1,5,5,4,5,4,2,1,1,1,1,1,5,5,1,1,5,4,1,1,5,4,1,1,1,4,5,1,5,3,2,1,1
1,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3,2,1,1,3,1,2,3,1,3,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,2,3,1,3,1,2,1,3,1,1,1,1,3,1,1,1,1,1,1
3,3,1,3,3,2,1,1,1,3,3,3,1,1,1,1,3,3,1,3,1,1,1,3,5,1,2,2,2,2,2,1,2,2,2,3,3,1,1,2,1,2,1,2,2,2,2,1,5,1,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1
3,3,3,1,1,3,3,1,1,1,3,3,3,3,3,1,1,1,1,1,1,3,1,3,6,6,2,5,5,5,5,2,6,2,6,6,6,2,5,3,2,6,5,6,3,7,5,5,6,6,2,5,3,5,6,2,5,2,6,6,7,3,5,3,2,6,5,5,3,6,5,5
1,3,3,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,3,3,3,1,1,3,3,4,5,5,5,2,2,4,3,3,4,6,3,3,3,5,5,5,5,2,3,5,3,5,2,4,5,5,5,3,3,3,2,2,4,6,3,3,3,3,4,3,3,2,3,5,2,3
3,3,1,1,3,3,3,3,1,1,1,3,1,1,1,3,3,3,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,3,3,1,3,1,3,3,3,3,3,1,3,1,3,3,3,1,5,1,1,2,1,1,3,1,1,1,2,1,2,1,2,1,1,3,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
